Language,Threads,Optimisation,Bit Width,Time,Run,Unroll
Python, 0, None, float, 254.703, 1, False
Python, 0, None, float, 246.92, 2, False
Python, 0, None, float, 246.469, 3, False
Python, 0, None, float, 247.73, 4, False
Python, 0, None, float, 304.751, 5, False
Python, 0, None, float, 255.293, 6, False
Python, 0, None, float, 259.52, 7, False
Python, 0, None, float, 242.424, 8, False
Python, 0, None, float, 279.818, 9, False
Python, 0, None, float, 245.379, 10, False
Python, 0, None, float, 252.337, 11, False
Python, 0, None, float, 262.863, 12, False
Python, 0, None, float, 248.155, 13, False
Python, 0, None, float, 241.968, 14, False
Python, 0, None, float, 247.602, 15, False
Python, 0, None, float, 264.575, 16, False
Python, 0, None, float, 256.142, 17, False
Python, 0, None, float, 249.788, 18, False
Python, 0, None, float, 244.0, 19, False
Python, 0, None, float, 253.158, 20, False
Python, 0, None, float, 250.046, 21, False
Python, 0, None, float, 247.941, 22, False
Python, 0, None, float, 255.019, 23, False
Python, 0, None, float, 251.914, 24, False
Python, 0, None, float, 252.914, 25, False
Python, 0, None, float, 247.044, 26, False
Python, 0, None, float, 266.575, 27, False
Python, 0, None, float, 251.938, 28, False
Python, 0, None, float, 248.757, 29, False
Python, 0, None, float, 251.842, 30, False
Python, 0, None, float, 247.05, 31, False
Python, 0, None, float, 253.589, 32, False
Python, 0, None, float, 248.444, 33, False
Python, 0, None, float, 262.849, 34, False
Python, 0, None, float, 259.928, 35, False
Python, 0, None, float, 245.018, 36, False
Python, 0, None, float, 253.017, 37, False
Python, 0, None, float, 267.262, 38, False
Python, 0, None, float, 256.699, 39, False
Python, 0, None, float, 248.546, 40, False
Python, 0, None, float, 254.834, 41, False
Python, 0, None, float, 271.408, 42, False
Python, 0, None, float, 244.292, 43, False
Python, 0, None, float, 270.679, 44, False
Python, 0, None, float, 244.498, 45, False
Python, 0, None, float, 251.059, 46, False
Python, 0, None, float, 249.218, 47, False
Python, 0, None, float, 249.757, 48, False
Python, 0, None, float, 254.885, 49, False
Python, 0, None, float, 254.488, 50, False
Python, 0, None, float, 256.555, 51, False
Python, 0, None, float, 264.381, 52, False
Python, 0, None, float, 259.475, 53, False
Python, 0, None, float, 254.033, 54, False
Python, 0, None, float, 246.26, 55, False
Python, 0, None, float, 267.075, 56, False
Python, 0, None, float, 255.944, 57, False
Python, 0, None, float, 255.561, 58, False
Python, 0, None, float, 266.559, 59, False
Python, 0, None, float, 258.161, 60, False
Python, 0, None, float, 244.565, 61, False
Python, 0, None, float, 249.819, 62, False
Python, 0, None, float, 268.278, 63, False
Python, 0, None, float, 257.872, 64, False
Python, 0, None, float, 241.36, 65, False
Python, 0, None, float, 252.239, 66, False
Python, 0, None, float, 248.204, 67, False
Python, 0, None, float, 255.083, 68, False
Python, 0, None, float, 251.591, 69, False
Python, 0, None, float, 253.8, 70, False
Python, 0, None, float, 257.723, 71, False
Python, 0, None, float, 255.488, 72, False
Python, 0, None, float, 252.752, 73, False
Python, 0, None, float, 254.504, 74, False
Python, 0, None, float, 251.461, 75, False
Python, 0, None, float, 267.041, 76, False
Python, 0, None, float, 255.435, 77, False
Python, 0, None, float, 259.775, 78, False
Python, 0, None, float, 262.411, 79, False
Python, 0, None, float, 257.605, 80, False
Python, 0, None, float, 291.222, 81, False
Python, 0, None, float, 242.114, 82, False
Python, 0, None, float, 253.932, 83, False
Python, 0, None, float, 248.232, 84, False
Python, 0, None, float, 248.055, 85, False
Python, 0, None, float, 257.071, 86, False
Python, 0, None, float, 248.312, 87, False
Python, 0, None, float, 261.276, 88, False
Python, 0, None, float, 251.595, 89, False
Python, 0, None, float, 257.862, 90, False
Python, 0, None, float, 266.905, 91, False
Python, 0, None, float, 244.974, 92, False
Python, 0, None, float, 242.74, 93, False
Python, 0, None, float, 251.409, 94, False
Python, 0, None, float, 249.164, 95, False
Python, 0, None, float, 250.271, 96, False
Python, 0, None, float, 266.516, 97, False
Python, 0, None, float, 283.174, 98, False
Python, 0, None, float, 252.392, 99, False
Python, 0, None, float, 249.02, 100, False
Python, 0, None, float, 248.98, 101, False
C, 0, -O1, float, 6.023945, 1, False
C, 0, -O1, float, 6.643940, 2, False
C, 0, -O1, float, 5.309952, 3, False
C, 0, -O1, float, 5.406952, 4, False
C, 0, -O1, float, 5.419951, 5, False
C, 0, -O1, float, 5.757948, 6, False
C, 0, -O1, float, 5.394951, 7, False
C, 0, -O1, float, 5.670949, 8, False
C, 0, -O1, float, 5.388951, 9, False
C, 0, -O1, float, 6.404942, 10, False
C, 0, -O1, float, 7.204935, 11, False
C, 0, -O1, float, 5.541950, 12, False
C, 0, -O1, float, 5.363951, 13, False
C, 0, -O1, float, 5.534951, 14, False
C, 0, -O1, float, 5.489951, 15, False
C, 0, -O1, float, 5.602949, 16, False
C, 0, -O1, float, 5.567950, 17, False
C, 0, -O1, float, 5.373952, 18, False
C, 0, -O1, float, 5.448951, 19, False
C, 0, -O1, float, 6.815939, 20, False
C, 0, -O1, float, 5.701949, 21, False
C, 0, -O1, float, 5.641949, 22, False
C, 0, -O1, float, 5.808947, 23, False
C, 0, -O1, float, 5.592950, 24, False
C, 0, -O1, float, 5.471951, 25, False
C, 0, -O1, float, 5.736949, 26, False
C, 0, -O1, float, 5.660949, 27, False
C, 0, -O1, float, 5.429951, 28, False
C, 0, -O1, float, 5.697949, 29, False
C, 0, -O1, float, 5.415951, 30, False
C, 0, -O1, float, 5.392952, 31, False
C, 0, -O1, float, 5.325952, 32, False
C, 0, -O1, float, 5.795948, 33, False
C, 0, -O1, float, 5.400951, 34, False
C, 0, -O1, float, 5.422951, 35, False
C, 0, -O1, float, 5.369952, 36, False
C, 0, -O1, float, 5.724949, 37, False
C, 0, -O1, float, 5.658949, 38, False
C, 0, -O1, float, 5.469950, 39, False
C, 0, -O1, float, 5.647949, 40, False
C, 0, -O1, float, 5.693948, 41, False
C, 0, -O1, float, 5.563950, 42, False
C, 0, -O1, float, 5.453950, 43, False
C, 0, -O1, float, 5.483950, 44, False
C, 0, -O1, float, 5.706948, 45, False
C, 0, -O1, float, 5.332952, 46, False
C, 0, -O1, float, 7.195935, 47, False
C, 0, -O1, float, 5.597950, 48, False
C, 0, -O1, float, 5.618949, 49, False
C, 0, -O1, float, 5.560950, 50, False
C, 0, -O1, float, 5.802948, 51, False
C, 0, -O1, float, 5.776948, 52, False
C, 0, -O1, float, 5.374952, 53, False
C, 0, -O1, float, 5.685949, 54, False
C, 0, -O1, float, 5.589949, 55, False
C, 0, -O1, float, 5.608949, 56, False
C, 0, -O1, float, 5.500950, 57, False
C, 0, -O1, float, 5.450950, 58, False
C, 0, -O1, float, 5.554950, 59, False
C, 0, -O1, float, 5.772948, 60, False
C, 0, -O1, float, 5.626950, 61, False
C, 0, -O1, float, 5.976946, 62, False
C, 0, -O1, float, 5.386952, 63, False
